"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "TypeScript", "XML", "TypeScript JSX", "JSON", "SCSS", "comment", "blank", "total"
"c:\Users\rohit\Documents\GitHub\chat-app\src\App.css", "CSS", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\rohit\Documents\GitHub\chat-app\src\App.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 0, 0, 0, 3, 6, 57
"c:\Users\rohit\Documents\GitHub\chat-app\src\Nav.css", "CSS", 67, 0, 0, 0, 0, 0, 0, 0, 2, 7, 76
"c:\Users\rohit\Documents\GitHub\chat-app\src\Nav.jsx", "JavaScript JSX", 0, 0, 369, 0, 0, 0, 0, 0, 2, 21, 392
"c:\Users\rohit\Documents\GitHub\chat-app\src\TabsComponent.jsx", "JavaScript JSX", 0, 0, 72, 0, 0, 0, 0, 0, 0, 6, 78
"c:\Users\rohit\Documents\GitHub\chat-app\src\assets\avatar.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rohit\Documents\GitHub\chat-app\src\assets\back.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rohit\Documents\GitHub\chat-app\src\assets\chatting-boy.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\rohit\Documents\GitHub\chat-app\src\assets\cn.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\rohit\Documents\GitHub\chat-app\src\assets\cross-white.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rohit\Documents\GitHub\chat-app\src\assets\cross.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rohit\Documents\GitHub\chat-app\src\assets\eye-close.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rohit\Documents\GitHub\chat-app\src\assets\eye.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rohit\Documents\GitHub\chat-app\src\assets\focus.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rohit\Documents\GitHub\chat-app\src\assets\focusAnimation.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
